user_id,user_name,password_hashed,first_name,last_name,address,phone_number,age,Email,created_at,Role
1,user1,$2y$10$hash001,John,Doe,"123 Main St, Cityville","111-222-3333",28,user1@example.com,2025-03-01 08:00:00,guest
2,user2,$2y$10$hash002,Alice,Smith,"456 Oak Ave, Townsville","222-333-4444",32,user2@example.com,2025-03-01 08:05:00,host
3,user3,$2y$10$hash003,Mike,Brown,"789 Pine Rd, Villageton","333-444-5555",45,user3@example.com,2025-03-01 08:10:00,guest
4,user4,$2y$10$hash004,Sarah,Lee,"101 Maple Blvd, Hamlet","444-555-6666",27,user4@example.com,2025-03-01 08:15:00,host
5,user5,$2y$10$hash005,David,Wilson,"202 Birch St, Metro City","555-666-7777",36,user5@example.com,2025-03-01 08:20:00,guest
6,user6,$2y$10$hash006,Emma,Johnson,"303 Cedar Dr, Uptown","666-777-8888",29,user6@example.com,2025-03-01 08:25:00,guest
7,user7,$2y$10$hash007,Liam,Williams,"404 Spruce Ln, Downtown","777-888-9999",40,user7@example.com,2025-03-01 08:30:00,guest
8,user8,$2y$10$hash008,Olivia,Jones,"505 Elm St, Suburbia","888-999-0000",33,user8@example.com,2025-03-01 08:35:00,host
9,user9,$2y$10$hash009,Noah,Davis,"606 Walnut Ave, Oldtown","999-000-1111",22,user9@example.com,2025-03-01 08:40:00,guest
10,user10,$2y$10$hash010,Ava,Martin,"707 Chestnut Rd, Riverside","000-111-2222",31,user10@example.com,2025-03-01 08:45:00,guest

